設置場所名,住所,経度,緯度,投票区
木下駅北口,印西市木下1633-13,140.148077,35.839025,第１投票区ー１: 総合福祉センター レクリエーションホール
総合福祉センター前,印西市竹袋614-9,140.150049,35.832873,第１投票区ー２: 総合福祉センター レクリエーションホール
旧木下保育園跡地北側,印西市木下1342-4,140.157098,35.840073,第１投票区ー３: 総合福祉センター レクリエーションホール
木下東四丁目もみじ公園東側,印西市木下東4-3,140.16746,35.839738,第１投票区ー４: 総合福祉センター レクリエーションホール
上町会館前,印西市木下774,140.151535,35.837352,第１投票区ー５: 総合福祉センター レクリエーションホール
古川文夫宅前,印西市竹袋470-4,140.157352,35.831655,第１投票区ー６: 総合福祉センター レクリエーションホール
岩﨑容子宅前,印西市別所1008,140.160508,35.82417,第１投票区ー７: 総合福祉センター レクリエーションホール
木下南公園北側,印西市木下南2-9,140.150999,35.833998,第１投票区ー８: 総合福祉センター レクリエーションホール
小林駅南口,印西市小林643-1,140.192872,35.830543,第２投票区ー１: 小林小学校体育館
旧ショッピングセンター前,印西市小林1811-1,140.191942,35.829964,第２投票区ー２: 小林小学校体育館
渡辺友幸宅脇,印西市小林2727,140.184005,35.834154,第２投票区ー３: 小林小学校体育館
米元益雄宅前,印西市平岡1196,140.175671,35.837158,第２投票区ー４: 小林小学校体育館
小林中学校前,印西市小林大門下1-4-1,140.186256,35.822941,第２投票区ー５: 小林小学校体育館
小林小学校前,印西市小林2448-2,140.187499,35.836771,第２投票区ー６: 小林小学校体育館
いなりや第二幼児公園南側,印西市小林浅間1-17-13,140.191968,35.826334,第２投票区ー７: 小林小学校体育館
小林駅北口,印西市小林北2-6-6,140.193632,35.830587,第３投票区ー１: 小林公民館集会室
なかうし西公園西側,印西市小林北2-6-4,140.191723,35.832042,第３投票区ー２: 小林公民館集会室
小林公民館前,印西市小林北5-1-6,140.198049,35.83138,第３投票区ー３: 小林公民館集会室
小林中継ポンプ場前,印西市小林3293-2,140.19112,35.834138,第３投票区ー４: 小林公民館集会室
浅間山公園西側,印西市小林浅間3-1-10,140.193955,35.827031,第３投票区ー５: 小林公民館集会室
なかうし第三幼児公園南側,印西市小林北3-8-15,140.196332,35.830645,第３投票区ー６: 小林公民館集会室
しろやま第一幼児公園南側,印西市小林浅間3-4-6,140.193849,35.824934,第３投票区ー７: 小林公民館集会室
寺島佳寿宅前,印西市大森3213,140.135646,35.833961,第４投票区ー１: 大森保健センター
大森小学校前,印西市大森3345-11地先,140.14049,35.837213,第４投票区ー２: 大森保健センター
寺田商店駐車場前,印西市大森3561-2,140.143645,35.836098,第４投票区ー３: 大森保健センター
市役所駐車場,印西市大森2364-2地先,140.144716,35.832554,第４投票区ー４: 大森保健センター
印西市役所前,印西市大森2531-2地先,140.145868,35.833926,第４投票区ー５: 大森保健センター
松本寿枝子宅前,印西市大森2289-2地先,140.144174,35.830048,第４投票区ー６: 大森保健センター
鹿黒集会所前,印西市鹿黒456-2,140.13514,35.823275,第４投票区ー７: 大森保健センター
渡辺孝宅前,印西市発作650,140.12389,35.832047,第４投票区ー８: 大森保健センター
亀成会館前,印西市亀成174-1,140.120295,35.827726,第４投票区ー９: 大森保健センター
宮内集会所隣,印西市浦部1991-1地先,140.102699,35.82516,第５投票区ー１: 永治コミュニティセンター多目的室
富沢商店前,印西市浦部1432-1地先,140.102907,35.823239,第５投票区ー２: 永治コミュニティセンター多目的室
山崎幸雄宅前,印西市白幡49-1,140.101075,35.819857,第５投票区ー３: 永治コミュニティセンター多目的室
山崎武雄宅前,印西市白幡277,140.10481,35.81726,第５投票区ー４: 永治コミュニティセンター多目的室
旧永治小学校前,印西市浦部557番地先,140.10896,35.824523,第５投票区ー５: 永治コミュニティセンター多目的室
和泉三差路,印西市和泉552番地先,140.122485,35.823832,第５投票区ー６: 永治コミュニティセンター多目的室
武藤忠志宅前,印西市和泉1114番地先,140.117205,35.81733,第５投票区ー７: 永治コミュニティセンター多目的室
武藤利一宅裏,印西市和泉892-2,140.123091,35.821145,第５投票区ー８: 永治コミュニティセンター多目的室
武西集会所前,印西市武西908,140.106978,35.783379,第６投票区ー１: 武西集会所集会室
安養寺前,印西市武西158-1,140.112374,35.782714,第６投票区ー２: 武西集会所集会室
消防貯水池脇,印西市戸神222番地先,140.117169,35.785241,第６投票区ー３: 武西集会所集会室
平川久人宅前,印西市戸神814,140.116525,35.787465,第６投票区ー４: 武西集会所集会室
ﾊｰﾄｳﾞｨﾚｯﾁﾞ前,印西市武西1269－1,140.109232,35.789179,第６投票区ー５: 武西集会所集会室
武西三差路脇,印西市武西355-1,140.107615,35.784094,第６投票区ー６: 武西集会所集会室
多々羅田青年館前,印西市多々羅田44番地先,140.129434,35.793106,第７投票区ー１: 船穂コミュニティセンター多目的室
結縁寺青年館前,印西市結縁寺535-1,140.135546,35.789924,第７投票区ー２: 船穂コミュニティセンター多目的室
（有）浅野自動車整備工場前,印西市船尾1334-4地先,140.130285,35.787404,第７投票区ー３: 船穂コミュニティセンター多目的室
船穂ｺﾐｭﾆﾃｨｾﾝﾀｰ前,印西市船尾786-1,140.129946,35.781814,第７投票区ー４: 船穂コミュニティセンター多目的室
山崎章三宅前,印西市船尾637-3番地先,140.12062,35.78103,第７投票区ー５: 船穂コミュニティセンター多目的室
押田博満宅前,印西市松崎397,140.138025,35.778318,第７投票区ー６: 船穂コミュニティセンター多目的室
山崎正富宅前,印西市松崎343,140.139141,35.77534,第７投票区ー７: 船穂コミュニティセンター多目的室
印西市果樹園芸組合集荷所隣,印西市泉20,140.132592,35.809455,第１２投票区ー７: 原山小学校体育館
河内恒明宅脇,印西市草深1208-15地先,140.133785,35.809352,第１２投票区ー８: 原山小学校体育館
七軒屋集会所前,印西市草深66-7,140.142712,35.801704,第８投票区ー１: 草深ふれあい市民センターロビー
